Original Key,Length,Text,Text Length
1cp9sjT_1Tc_4-8-rgb_front,199,"Letting that leg open up, we're going to call in some of the deep inner thigh muscles as well as trying to keep that low back flat.",131
EWV6xcewNVk_6-8-rgb_front,88,You've got to first put a braid at the back of your hair.,57
EmxarfGOKd0_20-8-rgb_front,183,"Leopard geckos don't get this very often, but it is something that can cause your leopard gecko to have trouble shedding.",121
darV50MH6vc_18-8-rgb_front,36,And it keeps your counter clean.,32
dtgTGUzrAAU_0-5-rgb_front,211,"We have some hot olive oil ready to go, ready to put the chicken in our pan.",76
18cpZSBTUQE_11-8-rgb_front,336,"And then once you've done that, there's kind of an endless number of possibilities of what you can do to the stem.",114
1SkWAa61esQ_4-5-rgb_front,495,"Again as I mentioned earlier, do not wash the hose, don't do anything with it, you don't ever want to get any kind of water in here because that could, if it doesn't dry properly it could lead to an infection, so you definitely don't want to do anything with the hose.",268
ey9K0GWYkSI_10-8-rgb_front,168,"Again, tap, work up toward the hair line.",41
5VseAeFbfgI_16-8-rgb_front,306,On this fabric I am going to use the blue side and I'm just going to start in the center here and I'm just going to draw a blue line.,133
Bda6fYAIFgg_7-8-rgb_front,299,And you know it just is really good underneath t-shirts as well but it's probably our second choice recommendation.,115
cdwEY8_WfZA_5-8-rgb_front,45,You ever hear of the green house effect?,40
34N8w-SDIc4_4-5-rgb_front,93,Right at the line where you are ready to end.,45
3mjTbgSBlhE_10-5-rgb_front,343,"There's fused glass, which means it's made in a kiln, and you actually fuse the glass together and create your own glass, make bowls, plates, platters.",151
-CI0wTBVlaI_8-8-rgb_front,239,"Their beaks sometimes get soiled and scaly, and these bathes don't necessarily clean them up.",93
2-5R15AFLs8_2-8-rgb_front,74,Just make sure that when you heat it you don't bring it to a boil.,66
dEsle4TneCw_6-5-rgb_front,371,"So, I am going to step one, two, three, quick, quick, and close.",64
2Z3CpALUO9o_40-8-rgb_front,69,They sell them at any photography store.,40
3MXwlCKtSPU_4-5-rgb_front,94,I don't know if you saw one of mine but we talked about Avon once.,66
Eh4cZxdMMc8_17-8-rgb_front,375,"As soon as the flour is incorporated, the minute the flour gets inside of that mixture that you had in there, you want to stop the mixing process.",146
ad4_GWc5XRo_36-8-rgb_front,24,"One, two, three.",16
DtJh6Hwgu8M_4-8-rgb_front,204,It is ancaramum (phonetic) and anise and cinnamon but also orange food coloring.,80
2bmQGJTwp3g_6-8-rgb_front,131,They are more restrictive but they tend to be warmer and lighter.,65
0CGoYyy61p8_21-8-rgb_front,59,But I think you did an awesome job and you do look fabulous.,60
1fZfM65z0zk_15-8-rgb_front,174,"Makeup does so many origins, and as you can see, I'm putting it right here on the base of her nose.",99
1rT2MDvamqU_2-8-rgb_front,265,"One thing you can do is you can get one of these balls and if you sit at a desk, you can switch out your chair for about an hour and balance on this ball and that helps build your core.",185
2-5R15AFLs8_8-8-rgb_front,150,And we're also going to add a half an ounce of dark rum.,56
1mOC52dYaUk_8-8-rgb_front,259,Your choices are either having a distorted book with dry pages or a book in which you can't separate any of the pages because they have all dried together.,155
3TKkSL9OYAg_4-5-rgb_front,194,"You can use a Petri dish, a plate, anything just to mix it.",59
-dE8T2Quw3I_9-5-rgb_front,314,"Also if you get a tangle, you can actually use that needle to stick in there and kind of untangle the knot you have in your line.",129
F38nf-l4VmU_4-5-rgb_front,64,With how to cure chapped lips.,30
1VHODMDPRbo_16-5-rgb_front,105,"It is legally binding, but it's all spelled out.",48
E6lt9dk8HTs_4-8-rgb_front,565,"The main component of a real hat box and there are people who sell plain boxes to be used as hat boxes, is this insert which holds the crown of the hat and puts the weight right around the band and I will demonstrate like so.",225
103cPOARuE0_4-5-rgb_front,134,"But, you're basically only limited by the size of your printer.",63
476vh2-HlV0_6-5-rgb_front,236,Then just use your mild dish soap that you would use for cleaning your dishes and silverware.,93
5c6jezj8l68_0-8-rgb_front,194,My name is Christine Marquette and I'm a registered dietitian with the Austin Regional Clinic and I'm going to talk to you about hormones for weight loss.,154
1Npqw3j6-w0_5-8-rgb_front,110,It's granulated sugar so you don't have to worry about packing it down or not.,78
1DHasvQymT4_3-5-rgb_front,434,"You rub that down pretty good, then you take your dry rag, rub over that, that would pick up the solvent and any degrease and residue that is left on it.",153
5T4P9SM0_ck_7_8_9_10_11-5-rgb_front,468,"So it's step together, lift drop. Step together, lift drop. Step together, lift drop. Step together, lift drop. Backwards, same thing.",134
brD68XY2rZs_41-8-rgb_front,46,It's called enemy defender.,27
0sPhvzvqXqY_10-8-rgb_front,180,"They pick up a lot quicker, they are a lot faster with their speaking, physically.",82
2OuMczapT_M_6-8-rgb_front,263,"So when you hear minus three, minus ten, minus eleven that means it's the differential between the length of the bat and the ounces of the bat.",143
CE23zzfUBDw_23-5-rgb_front,64,I'm not seeing any problems there.,34
bUsxa-igAF0_11-8-rgb_front,105,"So we pour that one there, like so.",35
11ysPjNRN4Y_22-1-rgb_front,329,"For example, you can have someone whose upper zone is so pronounced that you've maybe got a very high loop there, and that would be someone who's very spiritual, kind of head in the clouds.",189
03lzv6OzJhE_18-8-rgb_front,193,"Alright here you go simple, easy, delicious, deep fried calamari.",65
darV50MH6vc_24-8-rgb_front,73,I wouldn't do this with a cat that you don't know well.,55
5c6jezj8l68_1-8-rgb_front,191,In the last 5 to 10 years there's actually been a lot of research into various hormones and how they may affect weight loss.,124
1SMnc4uRVLo_9-5-rgb_front,45,These are your result strips.,29
0t19eYsWPyg_6-8-rgb_front,788,Fresh flowers it's basically God's made them and you've just got to work with what He's given you to do it.,107
f6LINKBu7io_15-8-rgb_front,89,But we can still make biodiesel from it.,40
DD8ux-rdam4_2-8-rgb_front,110,Some people feel these reels are a little bit easier to use and in a way I think they are.,90
DX3KWLldIJc_14-8-rgb_front,320,"If you get, if you make some mistakes, like you cut a piece off and you get a lump there, you can cut a thicker piece to get flat again and then continue on.",157
biBBePKaQMY_0-4-rgb_front,143,"Hi, this is John Stewart and this is how to find water in the case of an emergency.",83
1IHiA_6XXrI_22-5-rgb_front,7,Yeah.,5
-8L6L9fFWK8_6-8-rgb_front,416,"An example of consecutive rolls: here, here, here, here, here, here, here, here, here, here.",92
0xmdaovBNms_5-5-rgb_front,404,Simply stand on the skateboard move you back foot to the ollie position then as soon as you lift up the front of the skateboard begin to twist your body until you feel comfortable.,180
0-I67scsfIE_8-5-rgb_front,368,"I'll usually ruler it out and tape it in line so your words are really straight on there, but stencils work too.",112
-70D86eMmIc_6-5-rgb_front,348,"Camas, Washington was named after that plant, and the natives used to eat the little corms just like you eat hazelnuts or beer nuts.",132
CQYIOWzYywU_1-5-rgb_front,695,"The piece of plastic that we're using is a thick piece of plastic, but it's a bit translucent, so you can see through, and it will be perfect for getting the images, placing the sheet of paper underneath and getting the images to show through so that we can go ahead and trace it onto the sheet of plastic.",306
aD7Kmdiuigo_1-5-rgb_front,61,This clip is about writing a story.,35
22BmeZR4eOk_7-5-rgb_front,181,"Also when you buy it, don't store it out in just anywhere, especially the freezer.",82
b11STwEhshU_15-5-rgb_front,16,Lift.,5
1pycas4XL9U_3-11-rgb_front,179,"Then, after that, continue to buy pieces when you go shopping in the future.",76
Cm8RAgN4w0A_0-5-rgb_front,139,In this clip I am going to talk to you about the basic piece that every drum has.,81
079tjgCukM4_0-5-rgb_front,175,In this segment I'm going to talk about unleashing your spirit from singing.,76
1Rvc-TbUBJ0_21-5-rgb_front,156,Please watch our next segment and we'll cover installing the pads part 2.,73
CREPjNfswRw_5-5-rgb_front,181,"So lift, squat, pendulum kick and down.",39
1DVNJsslUPw_23-5-rgb_front,276,"It can detect those types of things, so the end-point tests are much more accurate as far as sensitivity tests go.",114
e_S9g_NKlvY_10-8-rgb_front,280,Now you're going to need more insulation if you have a colder barn or if your horse is turned out and less insulation if you horse is in a warm barn.,149
1P0oKY4FNyI_5-8-rgb_front,95,Let's take 11x25 as our example.,32
BsN-7BOFXX4_8-3-rgb_front,63,Now here is what you don't want on an airplane flight.,54
Cz1cQs0AxfM_5-5-rgb_front,449,"This also, in this version, I've shown it with the more feminine type buttonholes, that have vertical ones, as opposed to horizontal.",133
Dh9XkH0EOMA_12-8-rgb_front,100,That's going to really help the air circulation inside the house.,65
14vF1lPQCgc_4-8-rgb_front,268,"So, you just slide your needle through along the seam and come out at your marked point.",88
1-iy8qmP4l0_6-5-rgb_front,154,Next were going to do a few really good squeezes of lime juice.,63
1A368owTj0E_7-3-rgb_front,211,"Again, some of this depends on the temperament of your bird, if you are able to do this or not.",95
12Awan9AIs4_3-8-rgb_front,235,"Even though it is dry on the surface, during the evening and at night, moisture will rise from below and your plants can get a little bit of that moisture.",155
eUgIpi7-Aqo_2-8-rgb_front,368,"So this is the vegetable part of the meal and in macrobiotics we actually catorgorize vegetables into three groups we have the root vegetables, the ground vegetable and the leafy greens.",186
cxNfMA-d_n8_0-1-rgb_front,125,In this segment we will talk about how to set your tent up in the snow.,71
fy64LazcBA4_19-5-rgb_front,490,Curl needs water in order to strengthen the bond so when your hair is grabbing moisture say if it is a very humid day then your hair is going to automatically start to strengthen its curl bonds and it is going to go back to a wave or some curly.,245
032PDxai5GE_9-8-rgb_front,101,I can change the position of the weapon in my hand depending on what I'm doing.,79
cvn7htBA8Xc_8-8-rgb_front,251,"But as far as the ""leave it"" command or any other single commands, I want the dog to know that baiting is going to be followed by a particular command.",151
-8tIt1vEinQ_3-8-rgb_front,56,And you'll see that I have multiple air brushes.,48
brD68XY2rZs_34-8-rgb_front,20,And everybody laughs.,21
1lGojKZsjI4_16-8-rgb_front,163,You will automatically feel a great sense of calm if you breathe in this fashion.,81
-_6Fmz29bhU_9-1-rgb_front,96,"Alright Jeff, I want you to come here and stand right where I'm standing.",73
03jABW2MKkk_12-8-rgb_front,20,Fingernails.,12
-dyT7rtkAMk_21-5-rgb_front,113,But it's those really hard efforts and it can be short.,55
1kMlu1Z5DWM_1-8-rgb_front,296,"Well, a ""miss"", a miss is 1 through 9 and that's what you get, two balls, and whatever you get, 1 through 9, that's what it will count, 7...7.",142
CJ8RyW9pzKU_3-8-rgb_front,79,She's going to come into table top first.,41
aHUC2fh-jfQ_22-8-rgb_front,134,And they're too bossy and they can't get in their shots.,56
1jAFRRkU4ic_8-8-rgb_front,59,That's another thing you might want to keep in mind.,52
fy64LazcBA4_11-5-rgb_front,195,You are then going to move on to your next section working your way from the bottom up and it makes it a little bit easier.,123
F0CLgejV5_k_3-5-rgb_front,160,"But damaged hair would usually look frizzy, it would have the split ends on it.",79
1rs4i373I7w_21-8-rgb_front,324,"Other forgotten items include car insurance, professional association or club dues, subscription and Internet fees and other kinds of expenses which show up only periodically or annually.",187
DlfWkmIQFsA_11-5-rgb_front,59,Then you just dump your fish in there.,38
1jeK8PkhsR4_16-8-rgb_front,27,We're getting out of the mirror.,32
4XAeTaoXAa0_9-5-rgb_front,263,"The lashes are not only black, but also thick in diameter creating thick black lashes about the use of mascara.",111
aRLsDsSFCkg_2-5-rgb_front,80,You don't want to get in harms way if you can help it.,54
DopLUa7Gl8s_7-5-rgb_front,79,"OK, right now I'm standing on the end of the board.",51
1XoT1-gzWfg_21-8-rgb_front,38,Everyone's going to be different.,33
c8qCeBSlaOw_9-8-rgb_front,38,It's a little bit tricky.,25
1Q2BYTlbdiE_21-8-rgb_front,13,O.k.,4
0psMj0gsJjs_14-5-rgb_front,75,Teri: What do you mean there might be?,38
cKmtmtqeUkI_4-9-rgb_front,114,Now some people might say why does my horse need a winter horse blanket.,72
cG6jFsMdpnw_12-8-rgb_front,316,"So I've got my inside starting, my outside ending, now your arch right in the middle of your eyebrow, is where your arch should be, the highest point of your eyebrow.",166
1cUIexb0ELM_7-8-rgb_front,59,It could be as simple as that.,30
23FtuKT8mUw_9-5-rgb_front,373,"And the same is true for other materials, one thing that you can get for a highly combustible surfaces like a wooden surface is.",128
2L0cIk45VhA_16-1-rgb_front,124,Now you can see some of them are larger than others.,52
3o7onKJWX7c_8-3-rgb_front,68,That's just going to come down into a small point.,50
1AtdCMxgF2Q_11-8-rgb_front,95,We're opening out; squeezing the shoulder blades down the spine.,64
EF4dlnqkJ3w_10-8-rgb_front,5,O.k.,4
cQwxm1k62WY_1-5-rgb_front,216,And in this segment we are going to talk about how to grow indoor plants with artificial lights.,96
2SHrot4ryPk_5-5-rgb_front,189,Spaghetti squash is really unique and different because it really absorbs the flavors of things that you put with it.,117
5c2eJSafE3M_13-5-rgb_front,243,I'll stick the patch down and now trim along our foot line.,59
eYT03gNpayI_6-8-rgb_front,50,Plus you might hurt yourself.,29
3RzgpH5Hg3I_11-5-rgb_front,308,"So, he has to make a decision, either he goes through the hole he's assigned or he tries to cut it back up inside on the left or right.",135
1W4YokNwUtY_4-5-rgb_front,245,So you really want to keep it tall and just like if you're looking into your zipper right here you're going to tuck those hips.,127
15bYoBr7BWs_41-8-rgb_front,211,"Now, you're going to go ahead and get that up into the eaves and we want to get the back side as well.",102
163ylBUtKlI_5-8-rgb_front,336,The students will be able to retain the material longer than by simply teaching to the test with the direct style of teaching that you're using in your classroom right now.,172
1qksnbHvJLY_11_12_13-8-rgb_front,883,"Hey Ty how are doing? Hey buddy come over here hi what a good boy, yes good job, good boy. So as you can see it is a little bit less chaotic when you are working with one dog at a time and working at the doors we are kind of combining 2 things here and talking about working with multiple dogs and the benefits with working with one dog at a time.",347
F8eQI8E-6q4_3-5-rgb_front,300,The customer comes at you with a very upset loud tone; don't match the customers tone.,86
1OzBoBBc4bw_1-8-rgb_front,58,Today we're going to be talking about buying a new car.,55
bA53FmWDNPU_8-8-rgb_front,195,"This might be a running play, but he's got to run his route, essentially, just like the play before when he did get the ball.",125
-06_nJnhORg_3-5-rgb_front,465,"Generally, I...I will schedule two to three houses a day, and if I get a late start then, you know, of course, that just delays the next job, and then the next job, and then it can be seven or eight at night when I get home.",224
C_DbdCYZc5s_5-5-rgb_front,80,This happens to be Atlantic salmon.,35
1--HXyOH4kg_11-5-rgb_front,554,"The way this works is like this: you consume an Access Bar 15 minutes before activity, on an empty stomach, and your body will immediately start burning fat.",157
aJpNFZd3uPw_18-5-rgb_front,63,"No, you're not.",15
-AZVqXtWGg0_11-8-rgb_front,59,That's the key point I'm trying to make.,40
3mNAaB29C7E_3-5-rgb_front,248,"So the threat she's facing, is I'm going to have my hand around her neck, locking my hands, and starting to pull her backwards.",127
Dxk6YjZDmpI_8-11-rgb_front,119,The reason is because they were redder fresher and they smell better.,69
1EY3NXNHHhc_13-5-rgb_front,388,"Deep breath in and exhale and again, using your breath and your obliques and you can use the opposite hand to assist, bringing both legs back to center.",152
b11STwEhshU_4-5-rgb_front,200,Your hip is moving in contrast to the hand and step and lift.,61
1wmA0tuWzRI_5-8-rgb_front,124,"You can use playing cards, which is a awful easy way to do it.",62
2p_XEJ6uL5U_14-5-rgb_front,211,"And thirdly, remove the zero from the city code and dial the remaining numbers.",79
dam5GdktjAU_9-8-rgb_front,118,It becomes important later in maintaining your balance.,55
aewpNjI88kw_0-5-rgb_front,151,So now both of my base and my lid had set up to the leather of our stage.,73
bhSWgP3DSYI_7-8-rgb_front,171,"So, the filament in that bulb will actually start to burn bright, thus changing some of your enlargement times.",111
-BABPsEWA54_16-3-rgb_front,73,"So, I'll show you it again on the right side.",45
1LaWSGs87gA_14-5-rgb_front,284,"Make sure to play with different colors, and make sure that you have someone near you that can give you an honest opinion about what looks good on you.",151
cC-MiIPH-14_6-8-rgb_front,118,"Really concentrate on rebounding, it will make your team much much better.",74
duDHzhkbkcE_5-5-rgb_front,404,"So what you want to do when you're applying the mascara, you want to start by coming in and circling the brush up.",114
BJebuYFoRis_17-8-rgb_front,141,"And, for flowering tea, you do not necessarily need to use a tea filter.",72
f6rSeB4glE8_8-8-rgb_front,158,"I am going to put a minus sign next to the word ""merchant.""",59
3RqJnxOWNyM_3-8-rgb_front,81,I'm going to cut the rind of the top of it.,43
1gycdY2pcYc_7-11-rgb_front,53,What's the first thing you're going to tell me?,47
Bbd7ZBJK9xc_9-8-rgb_front,188,"And I'm going to dedicate this drink to the Crocodile Hunter and give a nice little ""Crikey"".",93
1lbhXfsU8DU_5-8-rgb_front,145,The way I treated the book says a lot that I care about reading.,64
14i542dF6Ps_4-8-rgb_front,704,You want to do long gliding strokes to make the person feel connected and then some nice other massage strokes that feel good are those that go against the muscle fiber called cross fiber friction and since most of the muscles in the back run this way what you would like to do is go across and the opposite way and that really feels good and helps loosen up the muscle fibers and release tension and stress in the person.,422
0EjXICFqrKo_28-8-rgb_front,46,Press down all the way.,23
-96cWDhR4hc_10-5-rgb_front,94,"Just color up those staples, it makes a big difference.",55
1EV7AT_lBno_52-5-rgb_front,84,"Though guys, you really have to catch her feet.",47
EQU6DoctO2Q_5-5-rgb_front,246,"Whereas if you buy a single pre-made designer scent, you're always going to end up with the same scent.",103
48QmLVn7fqQ_16-8-rgb_front,59,It's up to you.,15
ccWCWiIkP_Q_3-8-rgb_front,549,So what I'm going to do to steam the milk for a single latte is drop the steam wand down in to where this tip of the steam wand is below the surface of the milk and turn on the steam wand.,188
dBIPltG0S5k_3-8-rgb_front,103,What we want to talk about first is that balance.,49
ft6HeVUlcuM_15-3-rgb_front,164,This fin will often be raised while they are swimming across the bottom and will look like a small sail.,104
5z6E_azb1Dg_19-3-rgb_front,203,"Instead of going and pulling on it and yank, yank, yank, yank, what you do is you go and you let it off the hook and you pull that stitch down there.",149
EEMLjP2s3Sg_7-11-rgb_front,188,"So take advantage of that don't let your kids see you do that, my grandmother use to say you get worms if you do that.",118
DOUfX5-ExYc_8-3-rgb_front,86,Inhale and exhale.,18
-6PZkp-zC78_8-5-rgb_front,380,"Remember in baskets, they tend to dry out a little bit quicker, so if you've got a hanging basket like this one is, you're going to have to make sure that you water it on almost a daily basis.",192
1MUKBwc84DA_7-8-rgb_front,163,Well the person who is calling you feels anonymous immediately because they are not face to face with you.,106
23LLbhn_Mjg_14-5-rgb_front,246,"Just because a lot of times that, those two things inform each other.",69
-BFCJ9zmfOo_21-8-rgb_front,253,"There was a raw cracker that I tried recently, and it was kind of a crepe, and it had oil in it, and it's just not my preference.",129
fy64LazcBA4_17-5-rgb_front,371,"Silicone coats over your hair cuticle and prevents your hair from absorbing, your cuticle from opening to absorb any water or moisture from the hair.",149
fy64LazcBA4_4-5-rgb_front,208,You want to do small sections so that way you can make sure that you get each hair shaft from root to end.,106
aty4pljzC1I_7-4-rgb_front,193,"However, if we got these three guys that are running a break, typically you want to use a bounce pass for this reason.",118
5agwuoxNssM_1-5-rgb_front,166,So let's add some more to our candy cane and beautiful heart.,61
-a9uCz7Bo5E_10-8-rgb_front,151,Toes are usually done very bird like as opposed to reptilian.,61
2JpUMNLreN4_8-5-rgb_front,114,You can see that everything that's running off is just clear water.,67
1bJg-DSYR8k_4-8-rgb_front,88,You just have to have it in a place where you're going to be able to see it.,76
3Sd2KRf-Fvo_9-5-rgb_front,113,"So, that's really what your thumb is doing when you're fingerpicking.",69
aKF1llwN-O8_1-8-rgb_front,70,This is a way that you can give back to the trail.,50
dvBdWGLzayI_10-8-rgb_front,1,Okay?,5
3leKwl-71Yg_5-5-rgb_front,454,"You can also find it in a lot of sewing stores, packages of thread that are specifically for hand sewing only and, there all waxed and there all a little thicker.",162
-dE8T2Quw3I_0-5-rgb_front,94,ALVIN DEDEAUX: So the basic tools you're going to need.,55
1bYIR6SR9Qs_0-8-rgb_front,76,A lot of people have a fear of falling backwards.,49
-AFID_P6YU0_9-8-rgb_front,53,So the bullseye side goes up.,29
06jk1stVwMI_12-5-rgb_front,44,Keep looking straight up.,25
-c5CKp2JWHE_5-5-rgb_front,169,"He's already spinning in this motion, so all I need to do is plant my hip there and draw him over.",98
1syO65Y29ZM_2-8-rgb_front,245,Now I'm going to show you the pieces of equipment that you'll need to make Hawaiian pork as well as the braise to sweet and sour cabbage and the pineapple skewers.,163
1pycas4XL9U_0-11-rgb_front,85,Tip number 5: Collecting Jewelry Over Time.,43
aUBQCNegrYc_0-1-rgb_front,150,GINA KENNEDY: Balance poses can be very challenging and a little scary when they're upside down.,96
CR-YuYN2oxA_14-5-rgb_front,48,Specially a good listener.,26
a7BqyLnTfqo_11-5-rgb_front,290,"You will notice that heâs got a fold also up this half like this so that when you fold it over, he will pop out at you.",121
DWvKuuJhmos_13-8-rgb_front,15,Okay?,5
brD68XY2rZs_2-8-rgb_front,293,"It's also a great way to introduce closeness to people that might not necessarily get that close in their regular work, but in a really kind of safe playful way.",161
-08ZGCviCm4_1-5-rgb_front,209,In this clip I am going to talk about a great drill that is really going to help you to shift your weight forward.,114
b1hxJIvcgls_6-8-rgb_front,11,Good.,5
bfNbGx1yLdE_19-4-rgb_front,279,"And just make sure not to brush it too hard, when it's wet it is in a weakened state because it can stretch, so it only stretches to a certain point, and then it snaps.",168
cG6jFsMdpnw_0-8-rgb_front,68,Now we are going to go over some measuring rules.,49
c6difzHesqQ_9-8-rgb_front,104,"Then, we have Sonia saying, ""Do you want to come in?""",53
1m_A7gr1174_11-8-rgb_front,105,There's kind of a different way to set up your bike for freestyling.,68
fAtXQBL65O8_5-5-rgb_front,170,I don't want it to be just regular so I always include some sort of design variation.,85
1qBxhsvMUps_7-8-rgb_front,63,Keep a track of what your paces have been.,42
aSafa3cyBuw_39-5-rgb_front,248,"But very, very gently so you don't tear the napkin or get a hole in your design.",80
1QT8l93Llx8_3-5-rgb_front,235,We work with all kinds of other service organizations to go in and try and stop drunk driving.,94
CiSoUHVR7UM_15-8-rgb_front,83,So you can of course have these gloves on.,42
5vl23AL3mpY_18-8-rgb_front,52,Step feet together.,19
2-hvU0YdLRY_13-8-rgb_front,171,Like you're having a match here with the hands that's going to keep nice tension all throughout the upper body.,111
FWOQPBc3kyY_6-5-rgb_front,214,"So the weight of the line bends the rod, the rod slings the line out and thatâs your cast.",92
2L0cIk45VhA_5-1-rgb_front,288,If you need to know what size wire you have and inside there is a little razor that is used to cut through that wire.,117
dam5GdktjAU_12-8-rgb_front,156,"So your knees are flexed, pressing against your shins and lifting your heel.",76
F38nf-l4VmU_25-5-rgb_front,123,Exfoliate the lips with a cloth or soft tooth brush.,52
dJkZC7IchGs_22-1-rgb_front,108,"You can practice on one foot, on the other foot, but just make believe.",71
16bpLAi_vTM_11-8-rgb_front,241,"If you didn't get close enough to the picture, you can go ahead and put the ruler over it one more time and make it a really nice clean finish.",143
1-iy8qmP4l0_3-5-rgb_front,20,Like so.,8
09B_3NBFoM8_5-5-rgb_front,384,Some of the more important questions we ask in order to do good diagnostics on what type of pain and what's the best treatment approach are things like what makes it better or worse.,182
1mcmnmxg64U_25-8-rgb_front,56,"And, she's going to be very happy and willing tonight.",54
--dANj_01AU_0-5-rgb_front,175,"In the side position, we're going to be palming and thumbing the sen lines on the legs.",87
b11STwEhshU_28-5-rgb_front,103,Lift and step and lift.,23
b-PYYUYz1V4_8-2-rgb_front,199,And you're simply going to paint some highlights on a section of hair.,70
cmFd-YkgJ0w_12-9-rgb_front,109,So always practice pulling that skirt forward then back.,56
BiBFHSdmhrM_6-5-rgb_front,239,"Women almost always go about what they're interested in, so if she's giving you a couple of looks, that's a good indicator.",123
00T6xK82A7k_10-5-rgb_front,278,"In order to remove the serpentine belt, what we have to do is release this spring-loaded tension that's applied by the tensioner.",129
07EGkSiMsL0_3-5-rgb_front,173,We've spoke about what he'd like and what treatment he wants.,61
